,song_uri,key,mode,valence,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,duration_ms
160,5vz2J2kP3vV7mZE9UxnFcG,5,0,0.853,0.861,0.0974,0.604,0.358,0.0467,-8.44,0.0719,115.588,4,253067
161,3QNo5oDTOSI23CDDpDUE9Q,0,0,0.676,0.749,0.0291,0.73,0.0,0.137,-13.919,0.0639,119.975,4,258840
162,31ixRkE8fxhP6yA3aDhjr4,6,1,0.191,0.372,0.298,0.501,8.36e-06,0.109,-6.561,0.0325,157.72,3,275867
163,7IifQT0luoDma04zd3L9go,11,1,0.25,0.602,0.727,0.338,0.0,0.0849,-12.371,0.0293,126.232,4,229227
164,46L7QPDXvEPoTLCHZwmZms,0,1,0.545,0.567,0.561,0.435,0.0,0.144,-15.835,0.0236,89.913,4,291800
165,42HaJ7QlInzQ5vHKWb5Ixa,5,0,0.896,0.885,0.248,0.534,4.77e-05,0.0357,-8.191,0.155,80.857,4,183227
166,6YR2MkzMhojHBmW1TbXtZO,5,0,0.81,0.802,0.0975,0.621,0.0256,0.0627,-7.932,0.0377,95.906,4,242093
167,6oYjESDcQAQrRh4SKMH7sW,7,1,0.485,0.343,0.0338,0.81,0.0,0.992,-8.082,0.0401,162.05,4,194000
168,3uJBcTWsHWoxnUkrLOx4JP,8,1,0.688,0.714,0.35,0.621,3.68e-05,0.0925,-9.963,0.0261,98.109,4,245200
169,2F9jMklOJOl65znIH4kc8C,11,0,0.725,0.633,0.208,0.858,0.0114,0.0655,-7.42,0.0473,102.559,4,356520
170,4L9VA69sfZKK5HAs5zP22I,8,1,0.453,0.62,0.431,0.514,0.0,0.148,-7.948,0.0417,140.062,4,269027
171,0PKTBeN87JYJ1mRzrq5Aog,4,1,0.372,0.446,0.388,0.559,1.78e-05,0.153,-8.319,0.0285,145.419,4,240173
172,4d5XCOm90B4Gs3ZGeFVaUX,3,1,0.25,0.532,0.277,0.654,1.44e-05,0.146,-6.367,0.0364,134.04,4,330933
173,34u3Bj1KVxKWfA07yDJ2vG,9,1,0.359,0.661,0.688,0.3,0.0118,0.0839,-18.055,0.0294,112.327,4,289067
174,1KT3ndndHOGXePgC4o0Jq9,10,1,0.223,0.28,0.771,0.211,0.0,0.125,-16.333,0.0357,74.106,3,276733
175,6rKQoV8NBoW6gXrWGpoCv7,2,1,0.671,0.778,0.00109,0.539,0.00458,0.143,-10.627,0.0887,107.083,4,235773
176,5EcQ53R86rMZ5WnfbVvQEh,7,1,0.0983,0.479,0.0461,0.619,0.000431,0.117,-5.723,0.0265,140.046,4,344827
177,0nCYZQ1nvXe7PghwP028jD,4,1,0.355,0.545,0.00822,0.494,0.0861,0.0908,-10.655,0.0336,75.026,4,227907
178,1jRAg7uqdsm5VYKKeEVKVd,1,1,0.916,0.536,0.111,0.823,0.000432,0.0543,-10.696,0.0687,200.128,4,289740
179,5gbPzqSC9MFfkeM3L06Imy,0,1,0.697,0.596,0.0478,0.547,4.92e-05,0.157,-13.136,0.0331,110.209,4,188760
180,0LdOVtg4WgJNeQ9D95tdvP,10,1,0.432,0.799,0.332,0.464,0.006,0.086,-9.789,0.118,87.901,4,267840
181,7f0tp6MJoOVBlij3XM2hMK,8,1,0.772,0.681,0.0109,0.746,0.0364,0.0689,-9.982,0.0394,118.768,4,242933
182,6m8umBymc4gJQUDq8fFKgH,6,0,0.92,0.871,0.0101,0.865,0.000289,0.0686,-7.692,0.0612,118.392,4,298680
183,6FfdQJ9HJcJAvsPVIyoGZ5,11,0,0.446,0.798,0.00596,0.817,6.29e-05,0.0548,-11.337,0.121,105.931,4,291667
184,7rUQkEM99w0dNXlgwoPU5K,9,1,0.898,0.661,0.0147,0.786,0.0002,0.0997,-6.146,0.0301,125.266,4,246493
185,2He3NOyqtLNE3RQPpeDdSb,1,0,0.924,0.694,0.0153,0.881,0.0196,0.0851,-4.053,0.0701,121.554,4,231787
186,6HQjeXaQl2lctjLOFR0ZEH,2,1,0.43,0.645,0.0851,0.585,0.000197,0.0382,-9.025,0.033,127.109,4,295467
