,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,mood
86,"It's Raining, It's Pouring","It's Raining, It's Pouring",Anson Seabra,2021-03-12,183089,62,0.598,0.68,0.598,0.444,1.94e-05,0.142,-8.683,0.0327,113.919,4,1
87,Gone,Gone,Blake Rose,2020-02-07,205462,65,0.317,0.039,0.317,0.545,0.0,0.116,-6.439,0.0469,139.014,5,1
88,House With No Mirrors,Only Child,Sasha Alex Sloan,2020-10-16,227613,55,0.72,0.832,0.72,0.408,2.61e-06,0.0992,-11.725,0.0498,121.972,4,1
89,Crazier Things,How To Be Human,Chelsea Cutler,2020-01-17,304560,58,0.606,0.731,0.606,0.237,3.35e-06,0.127,-13.084,0.029,93.105,4,1
90,could cry just thinkin about you,could cry just thinkin about you (Full Version),Troye Sivan,2021-07-09,158000,67,0.515,0.318,0.515,0.323,0.0,0.106,-11.05,0.0429,147.972,4,1
91,Place In Me,Place In Me,Luke Hemmings,2021-08-05,187443,57,0.274,0.865,0.274,0.345,2.36e-06,0.12,-6.715,0.0309,68.639,4,1
92,Lonely (with benny blanco),Lonely (with benny blanco),Justin Bieber,2020-10-16,149297,58,0.631,0.879,0.631,0.226,0.0,0.115,-7.257,0.0396,79.968,4,1
93,exile (feat. Bon Iver),folklore,Taylor Swift,2020-07-24,285634,81,0.298,0.778,0.298,0.38,5.62e-05,0.11,-8.426,0.0287,75.602,4,1
94,Young & Sad,THE END OF EVERYTHING,Noah Cyrus,2020-05-15,190182,62,0.618,0.592,0.618,0.428,0.0,0.192,-8.5,0.038,142.021,4,1
95,Here's Your Perfect,Here's Your Perfect (Acoustic),Jamie Miller,2021-07-09,158594,45,0.558,0.499,0.558,0.454,0.0,0.146,-5.335,0.0551,113.12,4,1
96,The Trauma and The Pleasure,"If We Were a Film, We'd Be a Sad One",Cameron Sanderson,2021-02-05,193284,48,0.604,0.335,0.604,0.601,0.0,0.105,-6.213,0.046,141.011,4,1
97,Break My Heart Again,Break My Heart Again,FINNEAS,2018-02-09,238012,66,0.402,0.907,0.402,0.151,0.0,0.0941,-14.227,0.0395,144.293,4,1
98,Unstable (feat. The Kid LAROI),Justice,Justin Bieber,2021-03-19,158324,73,0.495,0.737,0.495,0.333,0.0,0.112,-10.109,0.0288,99.757,4,1
99,Stay,Stay,Gracie Abrams,2019-11-21,177152,69,0.618,0.883,0.618,0.37,0.0,0.123,-10.5,0.0543,114.26,4,1
100,i looked into your eyes,i looked into your eyes,Sky McCreery,2021-03-19,148556,68,0.475,0.853,0.475,0.0989,0.0,0.271,-9.55,0.0474,133.713,4,1
101,The Worst Of You,People Don't Change,PJ Harding,2021-04-23,209813,61,0.555,0.791,0.555,0.35,6.64e-06,0.11,-10.955,0.0503,77.772,4,1
102,Love Is Gone - Acoustic,Love Is Gone (Acoustic),SLANDER,2019-11-13,176971,79,0.541,0.882,0.541,0.153,1.66e-06,0.16,-10.654,0.0303,139.644,4,1
103,I Lost a Friend,I Lost a Friend,FINNEAS,2019-05-03,237020,61,0.453,0.587,0.453,0.209,0.0,0.119,-11.917,0.223,169.316,4,1
104,Crocodiles,Crocodiles,Cian Ducrot,2021-03-25,240065,53,0.543,0.658,0.543,0.44,0.0,0.113,-10.974,0.0379,139.58,4,1
105,my tears ricochet,folklore (deluxe version),Taylor Swift,2020-08-18,255893,64,0.456,0.814,0.456,0.265,0.0,0.0679,-10.663,0.0328,129.947,4,1
106,Devil On My Shoulder,Devil On My Shoulder,Chelsea Cutler,2021-10-01,212493,64,0.661,0.649,0.661,0.323,1.82e-05,0.193,-9.579,0.0412,129.955,4,1
107,Male Fantasy,Happier Than Ever,Billie Eilish,2021-07-30,194886,75,0.687,0.863,0.687,0.288,0.0,0.0986,-10.415,0.045,110.927,4,1
108,Pain,Pain,Nessa Barrett,2020-07-31,219359,61,0.469,0.602,0.469,0.11,0.0,0.102,-14.773,0.0423,119.745,4,1
109,Older,Loser,Sasha Alex Sloan,2018-11-29,184892,62,0.628,0.732,0.628,0.298,0.0,0.116,-9.539,0.0713,63.762,4,1
110,right where you left me - bonus track,evermore (deluxe version),Taylor Swift,2021-01-07,245026,72,0.581,0.769,0.581,0.619,0.000106,0.117,-6.524,0.0282,137.915,4,1
