,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,mood
142,Be Kind,Be Kind,Zak Abel,2021-02-25,181516,63,0.929,0.068,0.929,0.67,0.0,0.318,-3.977,0.0488,120.935,4,2
143,Tick Tock (feat. 24kGoldn),Tick Tock (feat. 24kGoldn),Clean Bandit,2020-08-21,178373,77,0.779,0.369,0.779,0.705,7.91e-06,0.124,-3.895,0.0344,101.022,4,2
144,Take Care of You,Take Care of You,Ella Henderson,2020-06-12,194234,66,0.66,0.141,0.66,0.667,5.26e-05,0.107,-6.87,0.0474,114.901,4,2
145,My Universe,My Universe,Coldplay,2021-09-24,228000,94,0.588,0.00813,0.588,0.701,0.0,0.2,-6.39,0.0402,104.988,4,2
146,Best Is Yet To Come (with Kyle Reynolds),Best Is Yet To Come (with Kyle Reynolds),Gryffin,2021-06-02,215201,67,0.569,0.0148,0.569,0.85,0.0,0.245,-3.914,0.0369,122.042,4,2
147,Runaway (with Sigala and JP Cooper),Runaway (with Sigala and JP Cooper),R3HAB,2021-08-20,168196,64,0.617,0.213,0.617,0.756,0.0,0.152,-5.811,0.104,121.828,4,2
148,All I Know So Far,All I Know So Far,P!nk,2021-05-07,277413,74,0.578,0.0586,0.578,0.639,0.0,0.0944,-5.749,0.0374,108.045,4,2
149,Lean On Me,Lean On Me,Sandro Cavazza,2020-10-09,182497,66,0.799,0.412,0.799,0.419,0.0,0.203,-7.99,0.174,156.055,4,2
150,Together,Together,Sia,2020-05-20,205207,70,0.521,0.0132,0.521,0.877,0.0806,0.0929,-5.444,0.0683,180.007,4,2
151,Somebody,Somebody,Dagny,2020-05-01,194373,53,0.721,0.00178,0.721,0.763,0.000238,0.0945,-4.748,0.0382,117.981,4,2
152,Risk It All,Risk It All,Ella Henderson,2021-08-20,178064,69,0.706,0.19,0.706,0.914,0.0,0.0886,-5.668,0.0615,124.03,4,2
153,Lease On Life,Lease On Life,Andy Grammer,2021-06-28,168162,52,0.704,0.0593,0.704,0.701,0.0,0.126,-5.44,0.0596,88.016,4,2
154,What A Man Gotta Do,What A Man Gotta Do,Jonas Brothers,2020-01-17,180644,76,0.852,0.00839,0.852,0.698,1.03e-06,0.0773,-7.206,0.0629,113.039,4,2
155,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),Joel Corry,2020-07-03,166028,85,0.734,0.168,0.734,0.874,1.14e-05,0.0489,-3.158,0.0662,122.953,4,2
156,Little Bit Of Love,Little Bit Of Love,JP Cooper,2020-05-08,195452,63,0.659,0.0636,0.659,0.801,0.0,0.341,-4.234,0.0435,105.991,4,2
157,Bigger Than,Bigger Than,Justin Jesso,2019-11-15,208013,66,0.421,0.151,0.421,0.669,0.0,0.635,-4.724,0.127,175.788,4,2
158,Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,2021-03-19,198081,91,0.677,0.321,0.677,0.696,0.0,0.42,-6.181,0.119,90.03,4,2
159,Dynamite,Dynamite,BTS,2020-08-21,199053,3,0.746,0.0112,0.746,0.765,0.0,0.0936,-4.41,0.0993,114.044,4,2
160,Wave of You,Wave of You,Surfaces,2021-04-09,213842,72,0.695,0.057,0.695,0.656,0.0,0.267,-6.038,0.0489,90.986,4,2
161,Acapulco,Acapulco,Jason Derulo,2021-09-03,139672,86,0.774,0.051,0.774,0.792,0.0,0.155,-4.021,0.0523,122.062,4,2
162,Smile,Smile,Katy Perry,2020-07-10,166898,66,0.783,0.0238,0.783,0.912,0.0,0.339,-3.713,0.243,98.025,4,2
163,Call On Me,Call On Me,RAYE,2021-06-11,194880,67,0.582,0.021,0.582,0.889,0.0,0.687,-4.386,0.0491,121.977,4,2
164,Call On Me (feat. Georgia Ku),Call On Me (feat. Georgia Ku),Sam Feldt,2021-10-15,192000,67,0.662,0.171,0.662,0.794,0.0,0.0883,-4.239,0.0533,104.951,4,2
